Datum,Posledna Transakcija,Maksimum,Minimum,Prosechna,Kolicina,Total
2024-01-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-11,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-10,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-09,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-05,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-04,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-03,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-02,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-28,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-26,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-25,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-22,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-21,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-20,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-19,1000.0,1000.0,1000.0,1000.0,0.0,100.0
2023-12-18,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-15,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-14,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-13,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-11,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-07,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-06,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-05,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-04,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-01,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-30,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-29,1000.0,1000.0,1000.0,1000.0,0.0,600.0
2023-11-28,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-24,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-23,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-22,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-21,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-20,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-17,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-16,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-15,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-14,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-13,1000.0,1000.0,1000.0,1000.0,0.0,260.0
2023-11-10,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-09,1000.0,1000.0,1000.0,1000.0,0.0,200.0
2023-11-08,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-07,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-06,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-03,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-02,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-01,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-31,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-30,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-26,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-25,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-24,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-20,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-19,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-18,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-17,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-16,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-13,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-10,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-09,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-06,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-10-05,1000.0,1000.0,1000.0,1000.0,15.61,100.0
2023-10-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-10-03,865.0,0.0,0.0,865.0,0.0,0.0
2023-10-02,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-29,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-28,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-27,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-26,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-22,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-20,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-19,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-15,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-13,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-12,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-11,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-07,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-06,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-05,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-09-01,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-31,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-30,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-29,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-24,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-23,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-22,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-17,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-16,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-15,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-11,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-10,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-09,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-08,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-07,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-04,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-03,865.0,0.0,0.0,865.0,0.0,0.0
2023-08-01,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-31,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-28,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-27,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-26,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-25,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-24,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-21,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-20,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-19,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-18,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-17,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-14,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-13,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-12,865.0,0.0,0.0,865.0,0.0,0.0
2023-07-11,865.0,865.0,865.0,865.0,1.76,70.0
2023-07-10,850.0,0.0,0.0,850.0,0.0,0.0
2023-07-07,850.0,0.0,0.0,850.0,0.0,0.0
2023-07-06,850.0,850.0,850.0,850.0,17.73,100.0
2023-07-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-07-04,722.0,0.0,0.0,722.0,0.0,0.0
2023-07-03,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-30,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-29,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-28,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-27,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-26,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-23,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-22,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-21,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-20,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-19,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-16,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-15,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-14,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-13,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-12,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-09,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-08,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-07,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-06,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-05,722.0,0.0,0.0,722.0,0.0,0.0
2023-06-01,722.0,0.0,0.0,722.0,0.0,0.0
2023-05-31,722.0,0.0,0.0,722.0,0.0,0.0
