Datum,Posledna Transakcija,Maksimum,Minimum,Prosechna,Kolicina,Total
2024-01-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-12,18350.0,18448.0,18350.0,18400.6,0.01,63.0
2024-01-11,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-11,18399.0,18400.0,18399.0,18399.45,0.0,128.0
2024-01-10,18399.0,18400.0,18399.0,18399.33,-0.09,97.0
2024-01-10,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-09,18450.0,18450.0,18400.0,18415.77,0.09,222.0
2024-01-09,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-05,18450.0,18450.0,18301.0,18399.39,0.0,148.0
2024-01-05,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-04,18399.0,18400.0,18399.0,18399.08,0.44,127.0
2024-01-04,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-03,18300.0,18400.0,18290.0,18318.52,0.19,81.0
2024-01-03,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-02,1000.0,0.0,0.0,1000.0,0.0,0.0
2024-01-02,18151.0,18300.0,18151.0,18283.19,0.71,27.0
2023-12-28,18150.0,18249.0,18102.0,18154.55,0.28,370.0
2023-12-28,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-27,18100.0,18145.0,18100.0,18104.17,-0.25,54.0
2023-12-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-26,18149.0,18150.0,18149.0,18149.17,-0.05,60.0
2023-12-26,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-25,18150.0,18200.0,18150.0,18158.87,-0.26,141.0
2023-12-25,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-22,18250.0,18250.0,18150.0,18206.52,0.04,23.0
2023-12-22,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-21,18200.0,18200.0,18200.0,18200.0,0.98,3.0
2023-12-21,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-20,18000.0,18151.0,18000.0,18023.52,-1.24,234.0
2023-12-20,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-19,18250.0,18250.0,18250.0,18250.0,-0.23,48.0
2023-12-19,1000.0,1000.0,1000.0,1000.0,0.0,100.0
2023-12-18,18299.0,18300.0,18250.0,18292.66,-0.04,76.0
2023-12-18,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-15,18300.0,18300.0,18300.0,18300.0,0.08,48.0
2023-12-15,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-14,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-14,18300.0,18300.0,18201.0,18284.65,0.64,178.0
2023-12-13,18151.0,18200.0,18150.0,18167.61,0.1,144.0
2023-12-13,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-12,18150.0,18150.0,18150.0,18150.0,-0.04,20.0
2023-12-12,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-11,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-11,18100.0,18399.0,18100.0,18157.22,-1.05,129.0
2023-12-07,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-07,18350.0,18350.0,18350.0,18350.0,0.09,12.0
2023-12-06,18350.0,18350.0,18201.0,18334.2,-0.36,66.0
2023-12-06,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-05,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-05,18400.0,18400.0,18400.0,18400.0,-0.03,88.0
2023-12-04,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-04,18400.0,18500.0,18400.0,18405.56,0.88,18.0
2023-12-01,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-12-01,18300.0,18300.0,18200.0,18245.81,0.29,37.0
2023-11-30,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-30,18200.0,18298.0,18101.0,18193.2,0.37,44.0
2023-11-29,18100.0,18146.0,18100.0,18126.41,-0.11,232.0
2023-11-29,1000.0,1000.0,1000.0,1000.0,0.0,600.0
2023-11-28,18149.0,18149.0,18100.0,18146.55,0.47,100.0
2023-11-28,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-27,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-27,18100.0,18100.0,18002.0,18062.42,0.35,414.0
2023-11-24,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-24,18000.0,18000.0,18000.0,18000.0,0.04,111.0
2023-11-23,1000.0,0.0,0.0,1000.0,0.0,0.0
2023-11-23,18000.0,18000.0,17900.0,17991.98,-0.04,131.0
2023-11-22,18000.0,18000.0,17980.0,17998.88,0.73,196.0
2023-11-22,1000.0,0.0,0.0,1000.0,0.0,0.0
