Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
27.12.2024,"394,00","394,00","394,00","394,00","1,03",45.0,17.730
26.12.2024,"390,00","390,00","390,00","390,00","95,98",45.0,17.550
25.12.2024,"199,00","199,00","199,00","199,00","0,00",39.0,7.761
24.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
23.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
20.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
19.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
18.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
17.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
16.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
13.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
12.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
11.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
10.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
06.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
05.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
04.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
03.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
02.12.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
29.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
28.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
27.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
26.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
25.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
22.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
21.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
20.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
19.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
18.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
15.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
14.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
13.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
12.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
11.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
08.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
07.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
06.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
05.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
04.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
01.11.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
31.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
30.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
29.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
28.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
25.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
24.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
22.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
21.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
18.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
17.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
16.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
15.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
14.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
10.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
09.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
08.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
07.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
04.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
03.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
02.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
01.10.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
30.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
27.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
26.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
25.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
24.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
23.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
20.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
19.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
18.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
17.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
16.9.2024,"199,00","199,00","199,00","199,00","0,00",0.0,0
13.9.2024,"199,00","199,00","199,00","199,00","-9,55",209.0,41.591
12.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
11.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
10.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
06.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
05.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
04.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
03.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
02.9.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
30.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
29.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
27.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
26.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
23.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
22.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
21.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
20.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
19.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
16.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
15.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
14.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
13.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
12.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
09.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
08.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
07.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
06.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
05.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
01.8.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
31.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
30.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
29.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
26.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
25.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
24.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
23.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
22.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
19.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
18.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
17.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
16.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
15.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
12.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
11.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
10.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
09.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
08.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
05.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
04.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
03.7.2024,"220,00","220,00","220,00","220,00","0,00",0.0,0
