Datum,Last Transaction,Maximum,Minimum,Average,Change,Amount,Total
27.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
26.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
25.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
24.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,2.314.200
23.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
20.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
19.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
18.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
17.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
16.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",1.0,53.510
13.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
12.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
11.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
10.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,00",0.0,0
06.12.2024,"53.510,00","53.510,00","53.510,00","53.510,00","0,01",3.0,160.530
05.12.2024,"53.502,00","53.502,00","53.502,00","53.502,00","0,00",2.0,107.004
04.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
03.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",5.0,267.500
02.12.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",6.0,321.000
29.11.2024,"53.502,00","53.502,00","53.502,00","53.502,00","0,00",2.0,107.004
28.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
27.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
26.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",6.0,321.000
25.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",1.0,53.500
22.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00","0,00",0.0,0
21.11.2024,"53.501,00","53.501,00","53.501,00","53.501,00","0,00",1.0,53.501
20.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
19.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
18.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","0,00",0.0,0
15.11.2024,"53.500,00","53.500,00","53.500,00","53.500,00","-2,73",10.0,535.000
14.11.2024,"55.000,00","55.000,00","55.000,00","55.000,00","0,00",0.0,0
13.11.2024,"55.000,00","55.000,00","55.000,00","55.000,00","2,69",5.0,275.000
12.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
11.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
08.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
07.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
06.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
05.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
04.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
01.11.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
31.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
30.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
29.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
28.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
25.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
24.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
22.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
21.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
18.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
17.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
16.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
15.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
14.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
10.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
09.10.2024,"53.561,00","53.561,00","53.561,00","53.561,00","0,00",0.0,0
